page,tier,code,label,ps,mooe,co,total
13,0,,A. REGULAR PROGRAMS,,,,
13,1,100000000000000,General Administration and Support,13794990000,1505758000,2777545000,18078293000
13,1,100000100001000,General Management and Supervision,13213299000,1505758000,2777545000,17496602000
13,1,,National Capital Region (NCR),3935495000,745976000,2777545000,7459016000
13,2,,Central Office,3506063000,702704000,2777545000,6986312000
13,2,,NCR Regional Office - Proper,78157000,24732000,,102889000
13,2,,Las Pi ñ as-Muntinlupa District Engineering Office,28160000,2060000,,30220000
13,2,,Malabon-Navotas District Engineering Office,28532000,2060000,,30592000
13,2,,Metro Manila 1st District Engineering Office,44233000,2060000,,46293000
13,2,,Metro Manila 2nd District Engineering Office,37378000,2060000,,39438000
13,2,,Metro Manila 3rd District Engineering Office,36775000,2060000,,38835000
13,2,,North Manila District Engineering Office,34609000,2060000,,36669000
13,2,,Quezon City 1st District Engineering Office,45583000,2060000,,47643000
13,2,,Quezon City 2nd District Engineering Office,48834000,2060000,,50894000
13,2,,South Manila District Engineering Office,47171000,2060000,,49231000
13,1,,Region I - Ilocos,556206000,45153000,,601359000
13,2,,Regional Office I - Proper,136053000,24773000,,160826000
13,2,,Ilocos Norte 1st District Engineering Office,46959000,2038000,,48997000
13,2,,Ilocos Norte 2nd District Engineering Office,47854000,2038000,,49892000
13,2,,Ilocos Sur 1st District Engineering Office,37096000,2038000,,39134000
13,2,,Ilocos Sur 2nd District Engineering Office,44436000,2038000,,46474000
14,2,,La Union 1st District Engineering Office,,37234000,2038000,39272000
14,2,,La Union 2nd District Engineering Office,,37047000,2038000,39085000
14,2,,Pangasinan 1st District Engineering Office,,37245000,2038000,39283000
14,2,,Pangasinan 2nd District Engineering Office,,46545000,2038000,48583000
14,2,,Pangasinan 3rd District Engineering Office,,48794000,2038000,50832000
14,2,,Pangasinan 4th District Engineering Office,,36943000,2038000,38981000
14,1,,Cordillera Administrative Region (CAR),,582005000,50191000,632196000
14,2,,Regional Office CAR - Proper,,103078000,25759000,128837000
14,2,,Abra District Engineering Office,,39227000,2036000,41263000
14,2,,Apayao 1st District Engineering Office,,36781000,2036000,38817000
14,2,,Apayao 2nd District Engineering Office,,47254000,2036000,49290000
14,2,,Baguio City District Engineering Office,,34974000,2036000,37010000
14,2,,Benguet 1st District Engineering Office,,45159000,2036000,47195000
14,2,,Benguet 2nd District Engineering Office,,36974000,2036000,39010000
14,2,,Ifugao 1st District Engineering Office,,35519000,2036000,37555000
14,2,,Ifugao 2nd District Engineering Office,,34653000,2036000,36689000
14,2,,Lower Kalinga District Engineering Office,,46902000,2036000,48938000
14,2,,Mountain Province 2nd District Engineering Office,,37212000,2036000,39248000
14,2,,Mountain Province First District Engineering Office,,48042000,2036000,50078000
14,2,,Upper Kalinga District Engineering Office,,36230000,2036000,38266000
14,1,,Region II - Cagayan Valley,,534558000,47084000,581642000
14,2,,Regional Office II - Proper,,75155000,24644000,99799000
14,2,,Batanes District Engineering Office,,30154000,2040000,32194000
14,2,,Cagayan 1st District Engineering Office,,46281000,2040000,48321000
14,2,,Cagayan 2nd District Engineering Office,,47087000,2040000,49127000
15,2,,Cagayan 3rd District Engineering Office,,46892000,2040000,48932000
15,2,,Isabela 1st District Engineering Office,,48672000,2040000,50712000
15,2,,Isabela 2nd District Engineering Office,,36333000,2040000,38373000
15,2,,Isabela 3rd District Engineering Office,,35444000,2040000,37484000
15,2,,Isabela 4th District Engineering Office,,36501000,2040000,38541000
15,2,,Nueva Vizcaya 2nd District Engineering Office,,47025000,2040000,49065000
15,2,,Nueva Vizcaya District Engineering Office,,36469000,2040000,38509000
15,2,,Quirino District Engineering Office,,48545000,2040000,50585000
15,1,,Region III - Central Luzon,,844660000,63803000,908463000
15,2,,Regional Office III - Proper,,216923000,30833000,247756000
15,2,,Aurora District Engineering Office,,48536000,2086000,50622000
15,2,,Bataan 1st District Engineering Office,,39147000,2086000,41233000
15,2,,Bataan 2nd District Engineering Office,,47253000,2086000,49339000
15,2,,Bataan 3rd District Engineering Office,,32475000,1883000,34358000
15,2,,Bulacan 1st District Engineering Office,,30472000,2086000,32558000
15,2,,Bulacan 2nd District Engineering Office,,35271000,2086000,37357000
15,2,,Bulacan 3rd District Engineering Office,,36595000,1883000,38478000
15,2,,Nueva Ecija 1st District Engineering Office,,50748000,2086000,52834000
15,2,,Nueva Ecija 2nd District Engineering Office,,48659000,2086000,50745000
15,2,,Pampanga 1st District Engineering Office,,45478000,2086000,47564000
15,2,,Pampanga 2nd District Engineering Office,,34577000,2086000,36663000
15,2,,Pampanga 3rd District Engineering Office,,26575000,2086000,28661000
15,2,,Tarlac 2nd District Engineering Office,,36637000,2086000,38723000
15,2,,Tarlac District Engineering Office,,44763000,2086000,46849000
15,2,,Zambales 1st District Engineering Office,,35981000,2086000,38067000
16,2,,Zambales 2nd District Engineering Office,,34570000,2086000,36656000
16,1,,Region IVA - CALABARZON,,716715000,57783000,774498000
16,2,,Regional Office IVA - Proper,,96940000,24503000,121443000
16,2,,Batangas 1st District Engineering Office,,43374000,2080000,45454000
16,2,,Batangas 2nd District Engineering Office,,36603000,2080000,38683000
16,2,,Batangas 3rd District Engineering Office,,37025000,2080000,39105000
16,2,,Batangas 4th District Engineering Office,,35357000,2080000,37437000
16,2,,Cavite 2nd District Engineering Office,,42587000,2080000,44667000
16,2,,Cavite District Engineering Office,,41200000,2080000,43280000
16,2,,Cavite Third District Engineering Office,,33266000,2080000,35346000
16,2,,Laguna 1st District Engineering Office,,37071000,2080000,39151000
16,2,,Laguna 2nd District Engineering Office,,34450000,2080000,36530000
16,2,,Laguna 3rd District Engineering Office,,34236000,2080000,36316000
16,2,,Quezon 1st District Engineering Office,,36746000,2080000,38826000
16,2,,Quezon 2nd District Engineering Office,,44545000,2080000,46625000
16,2,,Quezon 3rd District Engineering Office,,47391000,2080000,49471000
16,2,,Quezon 4th District Engineering Office,,47695000,2080000,49775000
16,2,,Rizal 1st District Engineering Office,,35697000,2080000,37777000
16,2,,Rizal 2nd District Engineering Office,,32532000,2080000,34612000
16,1,,Region IVB - MIMAROPA,,438817000,40959000,479776000
16,2,,MIMAROPA Regional Office - Proper,,95295000,24447000,119742000
16,2,,Marinduque District Engineering Office,,35643000,2064000,37707000
16,2,,Mindoro Occidental District Engineering Office,,47228000,2064000,49292000
16,2,,Mindoro Oriental District Engineering Office,,33892000,2064000,35956000
16,2,,Palawan 1st District Engineering Office,,43414000,2064000,45478000
17,2,,Palawan 2nd District Engineering Office,,47722000,2064000,49786000
17,2,,Palawan 3rd District Engineering Office,,44257000,2064000,46321000
17,2,,Romblon District Engineering Office,,45156000,2064000,47220000
17,2,,Southern Mindoro District Engineering Office,,46210000,2064000,48274000
17,1,,Region V - Bicol,,701751000,55511000,757262000
17,2,,Regional Office V - Proper,,93453000,24491000,117944000
17,2,,Albay 1st District Engineering Office,,35791000,2068000,37859000
17,2,,Albay 2nd District Engineering Office,,37984000,2068000,40052000
17,2,,Albay 3rd District Engineering Office,,35802000,2068000,37870000
17,2,,Camarines Norte District Engineering Office,,48810000,2068000,50878000
17,2,,Camarines Sur 1st District Engineering Office,,36794000,2068000,38862000
17,2,,Camarines Sur 2nd District Engineering Office,,34534000,2068000,36602000
17,2,,Camarines Sur 3rd District Engineering Office,,36985000,2068000,39053000
17,2,,Camarines Sur 4th District Engineering Office,,46903000,2068000,48971000
17,2,,Camarines Sur 5th District Engineering Office,,36169000,2068000,38237000
17,2,,Catanduanes District Engineering Office,,47280000,2068000,49348000
17,2,,Masbate 1st District Engineering Office,,37143000,2068000,39211000
17,2,,Masbate 2nd District Engineering Office,,44781000,2068000,46849000
17,2,,Masbate 3rd District Engineering Office,,45352000,2068000,47420000
17,2,,Sorsogon 2nd District Engineering Office,,36972000,2068000,39040000
17,2,,Sorsogon District Engineering Office,,46998000,2068000,49066000
17,1,,Region VI - Western Visayas,,535603000,47227000,582830000
17,2,,Regional Office VI - Proper,,93966000,24495000,118461000
17,2,,Aklan District Engineering Office,,46141000,2085000,48226000
18,2,,Antique District Engineering Office,,44184000,2085000,46269000
18,2,,Capiz 1st District Engineering Office,,31504000,2085000,33589000
18,2,,Capiz 2nd District Engineering Office,,41884000,2085000,43969000
18,2,,Guimaras District Engineering Office,,35354000,2085000,37439000
18,2,,Iloilo 1st District Engineering Office,,33567000,2085000,35652000
18,2,,Iloilo 2nd District Engineering Office,,47076000,2085000,49161000
18,2,,Iloilo 3rd District Engineering Office,,43903000,2085000,45988000
18,2,,Iloilo 4th District Engineering Office,,36724000,2085000,38809000
18,2,,Iloilo 6th District Engineering Office,,45075000,1882000,46957000
