page,tier,label,amounts
115,0,MAINTENANCE AND OTHER OPERATING EXPENSES,24685746000
115,0,GENERAL ADMINISTRATIVE AND SUPPORT,1505758000
115,2,National Capital Region,1505758000
115,3,Central Office,1505758000
115,0,SUPPORT TO OPERATIONS,23179988000
115,1,National Capital Region,23179988000
115,2,Central Office,23179988000
115,2,"Infrastructure Planning, Design, Construction and Maintenance",23170243000
115,3,Design of Infrastructure Projects,13504000
115,3,"Preparation of Manuals for Construction, Rehabilitation , & Improvement of Infrastructure Facilities",10737000
115,3,Management of Construction and Maintenance Equipment and Ancillary Facilities,154539000
115,3,"Infrastructure Research, Quality Control and Management, Ancillary Facilities",57829000
115,3,"Maintenance, Repair and Rehabilitation of Infrastructure Facilities and Other Related Activities",22933634000
115,4,Bureau Proper,26595000
115,4,Routine Maintenance of National Roads,11610491000
115,5,National Capital Region,587694000
115,6,North Manila District Engineering Office,65987000
115,6,South Manila District Engineering Office,93509000
115,6,Metro Manila 1st District Engineering Office,107993000
115,6,Metro Manila 2nd District Engineering Office,60496000
115,6,Las Pi ñ as-Muntinlupa District Engineering Office,30791000
115,6,Metro Manila 3rd District Engineering Office,33630000
115,6,Malabon-Navotas District Engineering Office,11396000
115,6,Quezon City 1st District Engineering Office,98107000
115,6,Quezon City 2nd District Engineering Office,85785000
115,5,Region I,737866000
115,6,Ilocos Norte 1st District Engineering Office,80422000
115,6,Ilocos Norte 2nd District Engineering Office,73526000
115,6,Ilocos Sur 1st District Engineering Office,44021000
115,6,Ilocos Sur 2nd District Engineering Office,104776000
115,6,La Union 1st District Engineering Office,59885000
115,6,La Union 2nd District Engineering Office,63951000
115,6,Pangasinan 1st District Engineering Office,74550000
115,6,Pangasinan 2nd District Engineering Office,82208000
115,6,Pangasinan 3rd District Engineering Office,96529000
116,6,Pangasinan 4th District Engineering Office,57998000
116,5,Cordillera Administrative Region,603118000
116,6,Abra District Engineering Office,81420000
116,6,Apayao 1st District Engineering Office,21694000
116,6,Apayao 2nd District Engineering Office,43362000
116,6,Benguet 1st District Engineering Office,108479000
116,6,Benguet 2nd District Engineering Office,79413000
116,6,Baguio City District Engineering Office,41099000
116,6,Ifugao 1st District Engineering Office,31947000
116,6,Ifugao 2nd District Engineering Office,38703000
116,6,Lower Kalinga District Engineering Office,61510000
116,6,Upper Kalinga District Engineering Office,29126000
116,6,Mt. Province District Engineering Office,39833000
116,6,Mountain Province 2nd District Engineering Office,26532000
116,5,Region II,597005000
116,6,Batanes District Engineering Office,13001000
116,6,Cagayan 1st District Engineering Office,83546000
116,6,Cagayan 2nd District Engineering Office,69893000
116,6,Cagayan 3rd District Engineering Office,73988000
116,6,Isabela 1st District Engineering Office,63333000
116,6,Isabela 2nd District Engineering Office,34390000
116,6,Isabela 3rd District Engineering Office,53740000
116,6,Isabela 4th District Engineering Office,58849000
116,6,Nueva Vizcaya 1st District Engineering Office,39016000
116,6,Nueva Vizcaya 2nd District Engineering Office,48926000
116,6,Quirino District Engineering Office,58323000
116,5,Region III,830820000
116,6,Aurora District Engineering Office,51439000
116,6,Bataan 1st District Engineering Office,19746000
116,6,Bataan 2nd District Engineering Office,22897000
116,6,Bataan 3rd District Engineering Office,42312000
116,6,Bulacan 1st District Engineering Office,77809000
116,6,Bulacan 2nd District Engineering Office,33469000
116,6,Bulacan 3rd District Engineering Office,28073000
116,6,Nueva Ecija 1st District Engineering Office,115844000
116,6,Nueva Ecija 2nd District Engineering Office,77653000
117,6,Pampanga 1st District Engineering Office,83175000
117,6,Pampanga 2nd District Engineering Office,22484000
117,6,Pampanga 3rd District Engineering Office,17295000
117,6,Tarlac District Engineering Office,143189000
117,6,Tarlac 2nd District Engineering Office,34150000
117,6,Zambales 1st District Engineering Office,41874000
117,6,Zambales 2nd District Engineering Office,19411000
117,5,Region IV-A,1178943000
117,6,Batangas 1st District Engineering Office,82466000
117,6,Batangas 2nd District Engineering Office,62088000
117,6,Batangas 3rd District Engineering Office,57479000
117,6,Batangas 4th District Engineering Office,70341000
117,6,Cavite 1st District Engineering Office,92039000
117,6,Cavite 2nd District Engineering Office,65579000
117,6,Cavite 3rd District Engineering Office,68764000
117,6,Laguna 1st District Engineering Office,68539000
117,6,Laguna 2nd District Engineering Office,51401000
117,6,Laguna 3rd District Engineering Office,59968000
117,6,Quezon 1st District Engineering Office,119071000
117,6,Quezon 2nd District Engineering Office,80369000
